	genre	bookID	format	0	1	2	3	4	5	6
0	['fantasy', 'young adult', 'fiction', 'magic', 'childrens', 'audiobook', 'adventure']	1	paperback	fantasy	young adult	fiction	magic	childrens	audiobook	adventure
1	['fantasy', 'fiction', 'young adult', 'magic', 'childrens', 'middle grade', 'audiobook']	5	paperback	fantasy	fiction	young adult	magic	childrens	middle grade	audiobook
2	['fantasy', 'young adult', 'fiction', 'magic', 'childrens', 'audiobook', 'adventure']	2	paperback	fantasy	young adult	fiction	magic	childrens	audiobook	adventure
3	[]	9	paperback							
4	['fantasy', 'young adult', 'fiction', 'magic', 'adventure', 'childrens', 'supernatural']	8	paperback	fantasy	young adult	fiction	magic	adventure	childrens	supernatural
5	['fantasy', 'fiction', 'young adult', 'magic', 'childrens', 'classics', 'adventure']	10	hardcover	fantasy	fiction	young adult	magic	childrens	classics	adventure
6	['fantasy', 'fiction', 'young adult', 'magic', 'childrens', 'middle grade', 'audiobook']	4	hardcover	fantasy	fiction	young adult	magic	childrens	middle grade	audiobook
7	['science fiction', 'fiction', 'humor', 'fantasy', 'classics', 'comedy', 'science fiction fantasy']	12	leather bound	science fiction	fiction	humor	fantasy	classics	comedy	science fiction fantasy
8	['science fiction', 'fiction', 'humor', 'fantasy', 'classics', 'comedy', 'science fiction fantasy']	13	paperback	science fiction	fiction	humor	fantasy	classics	comedy	science fiction fantasy
9	['science fiction', 'fiction', 'humor', 'fantasy', 'comedy', 'science fiction fantasy', 'audiobook']	14	hardcover	science fiction	fiction	humor	fantasy	comedy	science fiction fantasy	audiobook
10	['science fiction', 'fiction', 'humor', 'fantasy', 'classics', 'comedy', 'science fiction fantasy']	18	hardcover	science fiction	fiction	humor	fantasy	classics	comedy	science fiction fantasy
11	['science fiction', 'fiction', 'humor', 'fantasy', 'comedy', 'science fiction fantasy', 'audiobook']	16	audio	science fiction	fiction	humor	fantasy	comedy	science fiction fantasy	audiobook
12	['travel', 'nonfiction', 'africa', 'memoir', 'humor', 'kenya', 'biography']	22	hardcover	travel	nonfiction	africa	memoir	humor	kenya	biography
13	['nonfiction', 'science', 'history', 'audiobook', 'humor', 'physics', 'popular science']	21	paperback	nonfiction	science	history	audiobook	humor	physics	popular science
14	['nonfiction', 'writing', 'language', 'reference', 'linguistics', 'humor', 'words']	23	paperback	nonfiction	writing	language	reference	linguistics	humor	words
15	['nonfiction', 'travel', 'humor', 'memoir', 'essays', 'biography', 'audiobook']	25	paperback	nonfiction	travel	humor	memoir	essays	biography	audiobook
16	['travel', 'nonfiction', 'humor', 'australia', 'memoir', 'audiobook', 'history']	24	paperback	travel	nonfiction	humor	australia	memoir	audiobook	history
17	['travel', 'nonfiction', 'humor', 'memoir', 'audiobook', 'american', 'biography']	26	paperback	travel	nonfiction	humor	memoir	audiobook	american	biography
18	['travel', 'nonfiction', 'humor', 'memoir', 'biography', 'audiobook', 'travelogue']	27	paperback	travel	nonfiction	humor	memoir	biography	audiobook	travelogue
19	['travel', 'nonfiction', 'humor', 'memoir', 'british literature', 'biography', 'audiobook']	28	paperback	travel	nonfiction	humor	memoir	british literature	biography	audiobook
